text,categories,word_type,frame_fit,number,bnc_pos,wordnet_pos,noun_supersense,n_words
nurses,care.virtue,noun,True,plural,NoC:25,n|v,noun.person,1
protector,care.virtue|authority.virtue,noun,False,singular,,n,noun.person,1
motherhood,care.virtue,noun,True,singular,,n,noun.relation,1
alleviation,care.virtue,noun,True,singular,,n,noun.feeling,1
nursemaid,care.virtue,noun,False,singular,,n,noun.person,1
safeguard,care.virtue,noun,True,singular,,n|v,noun.act,1
protect,care.virtue|authority.virtue,verb,False,,Verb:138,v,,1
healthiness,care.virtue,noun,True,singular,,n,noun.state,1
protecters,care.virtue,noun,True,plural,,,,1
patient,care.virtue,noun,False,singular,NoC:311|Adj:14,a|n,noun.person,1
nurse,care.virtue,noun,False,singular,NoC:89,n|v,noun.person,1
vulnerable,care.virtue|care.vice,adjective,False,,Adj:25,a,,1
benefit,care.virtue,noun,True,singular,NoC:230|Verb:75,n|v,noun.possession,1
feed,care.virtue,verb,False,,Verb:91,n|v,noun.food,1
childcare,care.virtue,noun,True,singular,,n,noun.act,1
rescuers,care.virtue,noun,True,plural,,n,noun.person,1
hugged,care.virtue,verb,False,,,v,,1
helpful,care.virtue,adjective,False,,Adj:32,a,,1
rescues,care.virtue,verb,False,,Verb:1|NoC:0,n|v,noun.act,1
nursing,care.virtue,gerund,True,singular,NoC:13|Adj:12,n|v,noun.act,1
protecting,care.virtue|authority.virtue,gerund,True,singular,Verb:12,a|v,,1
heals,care.virtue,verb,False,,,v,,1
childbearing,care.virtue,noun,True,singular,,a|n,noun.process,1
hugger,care.virtue,noun,False,singular,,n,noun.person,1
relief,care.virtue,noun,True,singular,NoC:134,n,noun.feeling,1
healed,care.virtue,verb,False,,,a|v,,1
rescued,care.virtue,verb,False,,Verb:8,a|v,,1
patients,care.virtue,noun,True,plural,NoC:173,n,noun.person,1
share,care.virtue,noun,True,singular,NoC:243|Verb:170,n|v,noun.possession,1
rescue,care.virtue,noun,True,singular,NoC:34|Verb:24,n|v,noun.act,1
healthy,care.virtue,adjective,False,,Adj:76,a,,1
hospitalise,care.virtue,verb,False,,,v,,1
hospitalising,care.virtue,gerund,True,singular,,v,,1
hugging,care.virtue,gerund,True,singular,,n|v,noun.act,1
nursery,care.virtue,noun,False,singular,NoC:39,n,noun.artifact,1
healthier,care.virtue,adjective,False,,Adj:4,a,,1
sharing,care.virtue,gerund,True,singular,Verb:21,a|n|v,noun.relation,1
helps,care.virtue,verb,False,,Verb:28|NoC:3,n|v,noun.act,1
sympathizers,care.virtue,noun,True,plural,,n,noun.person,1
hospitalises,care.virtue,verb,False,,,v,,1
alleviating,care.virtue,gerund,True,singular,,v,,1
wounded,care.virtue|care.vice,verb,False,,Verb:9,a|n|v,noun.group,1
wounds,care.virtue|care.vice,noun,True,plural,NoC:10|Verb:0,n|v,noun.state,1
hospitalize,care.virtue,verb,False,,,v,,1
alleviate,care.virtue,verb,False,,,v,,1
protective,care.virtue,adjective,False,,Adj:13,a,,1
protection,care.virtue|authority.virtue,noun,True,singular,NoC:161,n,noun.act,1
health,care.virtue,noun,True,singular,NoC:492,n,noun.state,1
relieve,care.virtue,verb,False,,Verb:23,v,,1
sympathizer,care.virtue,noun,False,singular,,n,noun.person,1
safety,care.virtue,noun,True,singular,NoC:172,n,noun.state,1
beneficiary,care.virtue,noun,False,singular,,a|n,noun.person,1
helped,care.virtue,verb,False,,Verb:76,v,,1
hospital,care.virtue,noun,False,singular,NoC:331,n,noun.artifact,1
childbirth,care.virtue,noun,True,singular,,n,noun.process,1
benefits,care.virtue,noun,True,plural,NoC:74|Verb:4,n|v,noun.possession,1
healthcare,care.virtue,noun,True,singular,,n,noun.act,1
relievers,care.virtue,noun,True,plural,,n,noun.person,1
feeds,care.virtue,verb,False,,Verb:3,n|v,noun.food,1
hospitalization,care.virtue,noun,True,singular,,n,noun.time,1
benefitting,care.virtue,gerund,True,singular,Verb:0,v,,1
relieving,care.virtue,gerund,True,singular,Verb:1,v,,1
safe,care.virtue,adjective,False,,Adj:144,a|n,noun.artifact,1
feeder,care.virtue,noun,False,singular,,n,noun.animal,1
benefitted,care.virtue,verb,False,,Verb:1,v,,1
hospitalized,care.virtue,verb,False,,,v,,1
unharmful,care.virtue,adjective,False,,,,,1
protects,care.virtue|authority.virtue,verb,False,,Verb:4,v,,1
unharmed,care.virtue,adjective,False,,,a,,1
protecter,care.virtue,noun,False,singular,,,,1
safely,care.virtue,adverb,False,,Adv:17,r,,1
safekeeping,care.virtue,noun,True,singular,,n,noun.act,1
hospitalizing,care.virtue,gerund,True,singular,,v,,1
wounding,care.virtue|care.vice,gerund,True,singular,Verb:2,a|n|v,noun.act,1
reliever,care.virtue,noun,False,singular,,n,noun.person,1
shares,care.virtue,noun,True,plural,NoC:79|Verb:5,n|v,noun.possession,1
relieves,care.virtue,verb,False,,Verb:1,n|v,noun.feeling,1
alleviates,care.virtue,verb,False,,,v,,1
relieved,care.virtue,adjective,False,,Adj:12|Verb:5,a|v,,1
hospitalizes,care.virtue,verb,False,,,v,,1
console,care.virtue,noun,False,singular,,n|v,noun.artifact,1
protectorate,care.virtue,noun,False,singular,,n,noun.location,1
alleviated,care.virtue,verb,False,,,a|v,,1
protected,care.virtue|authority.virtue,verb,False,,Verb:20,a|v,,1
wound,care.virtue|care.vice,noun,True,singular,NoC:32|Verb:22,a|n|v,noun.state,1
consoles,care.virtue,noun,True,plural,,n|v,noun.artifact,1
harm,care.vice,noun,True,singular,NoC:46|Verb:17,n|v,noun.state,1
suffer,care.vice,verb,False,,Verb:158,v,,1
hurt,care.vice,verb,False,,Verb:85,a|n|v,noun.state,1
harmed,care.vice,verb,False,,Verb:2,v,,1
hurting,care.vice,gerund,True,singular,Verb:5,n|v,noun.state,1
hurts,care.vice,verb,False,,Verb:5,n|v,noun.state,1
cruel,care.vice,adjective,False,,Adj:28,a,,1
endanger,care.vice,verb,False,,,v,,1
harming,care.vice,gerund,True,singular,Verb:1,v,,1
harms,care.vice,noun,True,plural,NoC:0|Verb:0,n|v,noun.state,1
suffering,care.vice,gerund,True,singular,NoC:27|Verb:26,a|n|v,noun.state,1
threaten,care.vice,verb,False,,Verb:77,v,,1
inflict,care.vice,verb,False,,Verb:14,v,,1
suffered,care.vice,verb,False,,Verb:54,v,,1
harmful,care.vice,adjective,False,,,a,,1
inflicted,care.vice,verb,False,,Verb:5,v,,1
mistreat,care.vice,verb,False,,,v,,1
endangers,care.vice,verb,False,,,v,,1
damaging,care.vice,gerund,True,singular,Verb:6,a|v,,1
injurious,care.vice,adjective,False,,,a,,1
victimize,care.vice,verb,False,,,v,,1
inflicts,care.vice,verb,False,,Verb:0,v,,1
hurtful,care.vice,adjective,False,,,a,,1
suffers,care.vice,verb,False,,Verb:8,v,,1
inflicting,care.vice,gerund,True,singular,Verb:1,v,,1
injures,care.vice,verb,False,,Verb:0,v,,1
unkind,care.vice,adjective,False,,,a,,1
damage,care.vice,noun,True,singular,NoC:164|Verb:53,n|v,noun.event,1
kill,care.vice,verb,False,,Verb:203,n|v,noun.act,1
die,care.vice,verb,False,,Verb:273,n|v,noun.artifact,1
