source_category,same persona,"different persona, within category","different persona, across category",same - across
disability,0.13508804460501195,0.1238651346690623,0.04939684262943183,0.08569120197558011
religion,0.17373053085951212,0.14247248376159652,0.10339177432554408,0.07033875653396804
political,0.16870176530169426,0.14338850459798988,0.10587015689894956,0.0628316084027447
age,0.11502042081568022,0.09488009061586967,0.07272863211699755,0.042291788698682664
gender,0.14466542426915543,0.1141162740888396,0.10632501980792125,0.038340404461234184
race,0.11392633518920715,0.10638366512347189,0.08201437171867776,0.031911963470529395
intersectional,0.10569288435475019,0.10368649950048221,0.07917394539364855,0.026518938961101635
