source_category,same persona,"different persona, within category","different persona, across category",same - across
disability,0.11266512530276895,0.11050533934092198,0.10569651431819026,0.006968610984578696
religion,0.10702701840659228,0.09239791537334809,0.10085094197621612,0.006176076430376154
political,0.08502615404468918,0.09133445982165136,0.08056195106130536,0.004464202983383819
race,0.06076048869687445,0.07886534664534868,0.05961026567817489,0.0011502230186995616
age,0.08566355592032467,0.08651803577582225,0.0886974820897508,-0.003033926169426132
intersectional,0.03566332833027211,0.04346666423009115,0.055640063355610204,-0.019976735025338095
gender,0.07210694445385622,0.1873342193834657,0.12664850150534324,-0.054541557051487013
