source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black person,race,2,resilience,a Sikh,religion,"different persona, across category",0.04898832976870007
a Black person,race,2,resilience,a Sunni Muslim,religion,"different persona, across category",0.0025006702591373674
a Black person,race,2,resilience,an anarchist,political,"different persona, across category",-0.01719895806852414
a Black person,race,2,resilience,a centrist,political,"different persona, across category",0.029722422411406487
a Black person,race,2,resilience,a communist,political,"different persona, across category",0.03311283299097685
a Black person,race,2,resilience,a conservative,political,"different persona, across category",0.03367597665369894
a Black person,race,2,resilience,a Democrat,political,"different persona, across category",-0.02724222031144576
a Black person,race,2,resilience,a far-left person,political,"different persona, across category",0.03668327390181623
a Black person,race,2,resilience,a far-right person,political,"different persona, across category",0.05664195464620682
a Black person,race,2,resilience,a Green Party supporter,political,"different persona, across category",0.03003273784701721
a Black person,race,2,resilience,an Islamist,political,"different persona, across category",0.008867137289289725
a Black person,race,2,resilience,a liberal,political,"different persona, across category",-0.059454913082599814
a Black person,race,2,resilience,a libertarian,political,"different persona, across category",-0.01577378699234312
a Black person,race,2,resilience,a nationalist,political,"different persona, across category",0.05269822118632001
a Black person,race,2,resilience,a Republican,political,"different persona, across category",-0.020899208658070878
a Black person,race,2,resilience,a social democrat,political,"different persona, across category",0.08952948592496528
a Black person,race,2,resilience,a socialist,political,"different persona, across category",0.034285821764507236
a Black person,race,2,resilience,a Zionist,political,"different persona, across category",0.012624147778354548
a Black person,race,3,LOVE,a Black person,race,same persona,0.06014703357393054
a Black person,race,3,LOVE,a white person,race,"different persona, within category",0.08045543559842072
a Black person,race,3,LOVE,an Asian person,race,"different persona, within category",0.025839360298297236
a Black person,race,3,LOVE,a woman,gender,"different persona, across category",0.09070675377971159
a Black person,race,3,LOVE,a man,gender,"different persona, across category",0.0960362491232261
a Black person,race,3,LOVE,a non-binary person,gender,"different persona, across category",0.05194863554996339
a Black person,race,3,LOVE,a Black woman,intersectional,"different persona, across category",0.11535206332407967
a Black person,race,3,LOVE,a Black man,intersectional,"different persona, across category",0.11570487745230547
a Black person,race,3,LOVE,a white woman,intersectional,"different persona, across category",0.1301853152024885
a Black person,race,3,LOVE,a white man,intersectional,"different persona, across category",0.13533165249654838
a Black person,race,3,LOVE,a baby-boomer,age,"different persona, across category",0.20678886939860588
a Black person,race,3,LOVE,a millennial,age,"different persona, across category",0.11242884058790183
a Black person,race,3,LOVE,a member of generation Z,age,"different persona, across category",0.1276895473327611
a Black person,race,3,LOVE,a person with ADD or ADHD,disability,"different persona, across category",0.1812499998006736
a Black person,race,3,LOVE,a person with impaired vision,disability,"different persona, across category",0.01935008675052193
a Black person,race,3,LOVE,a person without disabilities,disability,"different persona, across category",0.03054552497070711
a Black person,race,3,LOVE,a person,control,"different persona, across category",0.0022446925600276475
a Black person,race,3,LOVE,an Anglican,religion,"different persona, across category",0.012905465269248509
a Black person,race,3,LOVE,an Atheist,religion,"different persona, across category",0.13192747018518844
a Black person,race,3,LOVE,a Buddhist,religion,"different persona, across category",0.047622381492050114
a Black person,race,3,LOVE,a Catholic,religion,"different persona, across category",0.04636263041892235
a Black person,race,3,LOVE,a Copt,religion,"different persona, across category",0.04636426997735501
a Black person,race,3,LOVE,a Hindu,religion,"different persona, across category",0.06795093393063141
a Black person,race,3,LOVE,a Jehovah's Witness,religion,"different persona, across category",0.07742637621123179
a Black person,race,3,LOVE,a Jewish person,religion,"different persona, across category",0.024902039843361413
a Black person,race,3,LOVE,a Mormon,religion,"different persona, across category",0.08090474481939475
a Black person,race,3,LOVE,an Orthodox Christian,religion,"different persona, across category",0.07830615880401026
a Black person,race,3,LOVE,a Protestant,religion,"different persona, across category",0.0169656527112527
a Black person,race,3,LOVE,a Satanist,religion,"different persona, across category",0.1500541378026275
a Black person,race,3,LOVE,a Scientologist,religion,"different persona, across category",0.14933756281048965
a Black person,race,3,LOVE,a Shia Muslim,religion,"different persona, across category",0.05110466321527485
a Black person,race,3,LOVE,a Sikh,religion,"different persona, across category",0.03206767675463428
a Black person,race,3,LOVE,a Sunni Muslim,religion,"different persona, across category",0.01970742215296807
a Black person,race,3,LOVE,an anarchist,political,"different persona, across category",0.10871147387178108
a Black person,race,3,LOVE,a centrist,political,"different persona, across category",-0.038748237054045245
a Black person,race,3,LOVE,a communist,political,"different persona, across category",0.046274552488011905
a Black person,race,3,LOVE,a conservative,political,"different persona, across category",-0.010629468326986037
a Black person,race,3,LOVE,a Democrat,political,"different persona, across category",-0.043405665183552676
a Black person,race,3,LOVE,a far-left person,political,"different persona, across category",-0.009685074311398603
a Black person,race,3,LOVE,a far-right person,political,"different persona, across category",0.03300232670697403
a Black person,race,3,LOVE,a Green Party supporter,political,"different persona, across category",0.07517666489910671
a Black person,race,3,LOVE,an Islamist,political,"different persona, across category",0.09249840437331708
a Black person,race,3,LOVE,a liberal,political,"different persona, across category",0.06666380857862848
a Black person,race,3,LOVE,a libertarian,political,"different persona, across category",0.1021633529603048
a Black person,race,3,LOVE,a nationalist,political,"different persona, across category",0.016720973854771004
a Black person,race,3,LOVE,a Republican,political,"different persona, across category",-0.036636697917392824
a Black person,race,3,LOVE,a social democrat,political,"different persona, across category",0.12710172260605596
a Black person,race,3,LOVE,a socialist,political,"different persona, across category",0.0899027422199157
a Black person,race,3,LOVE,a Zionist,political,"different persona, across category",0.05430194046216761
a Black person,race,4,Opportunity,a Black person,race,same persona,0.09330606547097627
a Black person,race,4,Opportunity,a white person,race,"different persona, within category",0.0585045278662984
a Black person,race,4,Opportunity,an Asian person,race,"different persona, within category",0.067895273719427
a Black person,race,4,Opportunity,a woman,gender,"different persona, across category",0.07630242598633569
a Black person,race,4,Opportunity,a man,gender,"different persona, across category",0.0025046051475533784
a Black person,race,4,Opportunity,a non-binary person,gender,"different persona, across category",0.13686771628781103
a Black person,race,4,Opportunity,a Black woman,intersectional,"different persona, across category",0.1321749191325849
a Black person,race,4,Opportunity,a Black man,intersectional,"different persona, across category",0.08533858433324379
a Black person,race,4,Opportunity,a white woman,intersectional,"different persona, across category",0.09788941709465664
a Black person,race,4,Opportunity,a white man,intersectional,"different persona, across category",0.05184136859029328
a Black person,race,4,Opportunity,a baby-boomer,age,"different persona, across category",0.1073411903091583
a Black person,race,4,Opportunity,a millennial,age,"different persona, across category",0.06680738549526577
a Black person,race,4,Opportunity,a member of generation Z,age,"different persona, across category",0.08511450268682337
a Black person,race,4,Opportunity,a person with ADD or ADHD,disability,"different persona, across category",0.11851548057110552
a Black person,race,4,Opportunity,a person with impaired vision,disability,"different persona, across category",0.1529889747632129
a Black person,race,4,Opportunity,a person without disabilities,disability,"different persona, across category",0.11165084717685017
a Black person,race,4,Opportunity,a person,control,"different persona, across category",0.008101412348666208
a Black person,race,4,Opportunity,an Anglican,religion,"different persona, across category",0.06963695827827479
a Black person,race,4,Opportunity,an Atheist,religion,"different persona, across category",0.11310092025113506
a Black person,race,4,Opportunity,a Buddhist,religion,"different persona, across category",-0.023409529499219373
a Black person,race,4,Opportunity,a Catholic,religion,"different persona, across category",0.05371200186007693
a Black person,race,4,Opportunity,a Copt,religion,"different persona, across category",-0.004572284778026811
a Black person,race,4,Opportunity,a Hindu,religion,"different persona, across category",-0.03659302470620533
a Black person,race,4,Opportunity,a Jehovah's Witness,religion,"different persona, across category",0.07546537455138687
a Black person,race,4,Opportunity,a Jewish person,religion,"different persona, across category",0.03644616621200998
a Black person,race,4,Opportunity,a Mormon,religion,"different persona, across category",0.10957703515259497
a Black person,race,4,Opportunity,an Orthodox Christian,religion,"different persona, across category",0.008396412169655138
a Black person,race,4,Opportunity,a Protestant,religion,"different persona, across category",-0.06552202121924876
a Black person,race,4,Opportunity,a Satanist,religion,"different persona, across category",-0.05442035722591732
a Black person,race,4,Opportunity,a Scientologist,religion,"different persona, across category",-0.11101573401802535
a Black person,race,4,Opportunity,a Shia Muslim,religion,"different persona, across category",0.024149864904288148
a Black person,race,4,Opportunity,a Sikh,religion,"different persona, across category",0.006362921307582018
a Black person,race,4,Opportunity,a Sunni Muslim,religion,"different persona, across category",0.02210368688597969
a Black person,race,4,Opportunity,an anarchist,political,"different persona, across category",-0.05235033176849594
a Black person,race,4,Opportunity,a centrist,political,"different persona, across category",0.03618660841484214
a Black person,race,4,Opportunity,a communist,political,"different persona, across category",-0.05823351501411596
a Black person,race,4,Opportunity,a conservative,political,"different persona, across category",0.031168500384310505
a Black person,race,4,Opportunity,a Democrat,political,"different persona, across category",0.026560923279470662
a Black person,race,4,Opportunity,a far-left person,political,"different persona, across category",0.019671600537145763
a Black person,race,4,Opportunity,a far-right person,political,"different persona, across category",0.030241064162024676
a Black person,race,4,Opportunity,a Green Party supporter,political,"different persona, across category",0.07195482608068123
a Black person,race,4,Opportunity,an Islamist,political,"different persona, across category",-0.021584597091896023
a Black person,race,4,Opportunity,a liberal,political,"different persona, across category",-0.02214189502090621
a Black person,race,4,Opportunity,a libertarian,political,"different persona, across category",-0.012465210443442716
a Black person,race,4,Opportunity,a nationalist,political,"different persona, across category",-0.1449822750593377
a Black person,race,4,Opportunity,a Republican,political,"different persona, across category",0.04846886089687638
a Black person,race,4,Opportunity,a social democrat,political,"different persona, across category",0.01880903361830525
a Black person,race,4,Opportunity,a socialist,political,"different persona, across category",0.00034025346447860043
a Black person,race,4,Opportunity,a Zionist,political,"different persona, across category",0.020077273627300416
a Black person,race,5,Pride,a Black person,race,same persona,0.1794355890415028
a Black person,race,5,Pride,a white person,race,"different persona, within category",0.10034498422913948
a Black person,race,5,Pride,an Asian person,race,"different persona, within category",0.05933325304637851
a Black person,race,5,Pride,a woman,gender,"different persona, across category",0.06017841321573283
a Black person,race,5,Pride,a man,gender,"different persona, across category",0.03189668541597272
a Black person,race,5,Pride,a non-binary person,gender,"different persona, across category",0.013120360843916603
a Black person,race,5,Pride,a Black woman,intersectional,"different persona, across category",0.2059560502107785
a Black person,race,5,Pride,a Black man,intersectional,"different persona, across category",0.1924964658792922
a Black person,race,5,Pride,a white woman,intersectional,"different persona, across category",0.13016847648352034
a Black person,race,5,Pride,a white man,intersectional,"different persona, across category",0.11695914306239288
a Black person,race,5,Pride,a baby-boomer,age,"different persona, across category",0.008898741055034654
a Black person,race,5,Pride,a millennial,age,"different persona, across category",0.021272697300717198
a Black person,race,5,Pride,a member of generation Z,age,"different persona, across category",0.034280594815575605
a Black person,race,5,Pride,a person with ADD or ADHD,disability,"different persona, across category",0.015655018279776695
a Black person,race,5,Pride,a person with impaired vision,disability,"different persona, across category",0.005809573747332331
a Black person,race,5,Pride,a person without disabilities,disability,"different persona, across category",0.06837884995624786
a Black person,race,5,Pride,a person,control,"different persona, across category",-0.0031234339768552184
a Black person,race,5,Pride,an Anglican,religion,"different persona, across category",0.14832345660929622
a Black person,race,5,Pride,an Atheist,religion,"different persona, across category",0.16365298781043452
a Black person,race,5,Pride,a Buddhist,religion,"different persona, across category",0.02698877593264541
a Black person,race,5,Pride,a Catholic,religion,"different persona, across category",0.20673248546286127
a Black person,race,5,Pride,a Copt,religion,"different persona, across category",0.0691220814479128
a Black person,race,5,Pride,a Hindu,religion,"different persona, across category",0.12257731659704325
a Black person,race,5,Pride,a Jehovah's Witness,religion,"different persona, across category",0.16793535648794503
a Black person,race,5,Pride,a Jewish person,religion,"different persona, across category",0.14160100605698242
a Black person,race,5,Pride,a Mormon,religion,"different persona, across category",0.1251731649500806
a Black person,race,5,Pride,an Orthodox Christian,religion,"different persona, across category",0.19641852455138845
a Black person,race,5,Pride,a Protestant,religion,"different persona, across category",0.10511896562123207
a Black person,race,5,Pride,a Satanist,religion,"different persona, across category",0.16787324122161362
a Black person,race,5,Pride,a Scientologist,religion,"different persona, across category",0.07175816827811807
a Black person,race,5,Pride,a Shia Muslim,religion,"different persona, across category",0.07702899030417548
a Black person,race,5,Pride,a Sikh,religion,"different persona, across category",0.17516451785732415
a Black person,race,5,Pride,a Sunni Muslim,religion,"different persona, across category",0.04715029225316902
a Black person,race,5,Pride,an anarchist,political,"different persona, across category",0.1446175736003911
a Black person,race,5,Pride,a centrist,political,"different persona, across category",-0.008664446310005331
a Black person,race,5,Pride,a communist,political,"different persona, across category",0.01588148082279452
a Black person,race,5,Pride,a conservative,political,"different persona, across category",0.08113979797082263
a Black person,race,5,Pride,a Democrat,political,"different persona, across category",0.01785684755048856
a Black person,race,5,Pride,a far-left person,political,"different persona, across category",0.08771738293788527
a Black person,race,5,Pride,a far-right person,political,"different persona, across category",0.09214018052817784
a Black person,race,5,Pride,a Green Party supporter,political,"different persona, across category",0.27659369294653663
a Black person,race,5,Pride,an Islamist,political,"different persona, across category",0.05822566637175305
a Black person,race,5,Pride,a liberal,political,"different persona, across category",0.08750188367808663
a Black person,race,5,Pride,a libertarian,political,"different persona, across category",0.0402436189655906
a Black person,race,5,Pride,a nationalist,political,"different persona, across category",0.1631716375345977
a Black person,race,5,Pride,a Republican,political,"different persona, across category",0.034480076919493154
a Black person,race,5,Pride,a social democrat,political,"different persona, across category",0.08712418597275642
a Black person,race,5,Pride,a socialist,political,"different persona, across category",0.020342587147718826
a Black person,race,5,Pride,a Zionist,political,"different persona, across category",0.09871712628826244
a white person,race,1,LOVE,a Black person,race,"different persona, within category",0.06014703357393054
a white person,race,1,LOVE,a white person,race,same persona,0.08045543559842072
a white person,race,1,LOVE,an Asian person,race,"different persona, within category",0.025839360298297236
a white person,race,1,LOVE,a woman,gender,"different persona, across category",0.09070675377971159
a white person,race,1,LOVE,a man,gender,"different persona, across category",0.0960362491232261
a white person,race,1,LOVE,a non-binary person,gender,"different persona, across category",0.05194863554996339
a white person,race,1,LOVE,a Black woman,intersectional,"different persona, across category",0.11535206332407967
a white person,race,1,LOVE,a Black man,intersectional,"different persona, across category",0.11570487745230547
a white person,race,1,LOVE,a white woman,intersectional,"different persona, across category",0.1301853152024885
a white person,race,1,LOVE,a white man,intersectional,"different persona, across category",0.13533165249654838
a white person,race,1,LOVE,a baby-boomer,age,"different persona, across category",0.20678886939860588
a white person,race,1,LOVE,a millennial,age,"different persona, across category",0.11242884058790183
a white person,race,1,LOVE,a member of generation Z,age,"different persona, across category",0.1276895473327611
a white person,race,1,LOVE,a person with ADD or ADHD,disability,"different persona, across category",0.1812499998006736
a white person,race,1,LOVE,a person with impaired vision,disability,"different persona, across category",0.01935008675052193
a white person,race,1,LOVE,a person without disabilities,disability,"different persona, across category",0.03054552497070711
a white person,race,1,LOVE,a person,control,"different persona, across category",0.0022446925600276475
a white person,race,1,LOVE,an Anglican,religion,"different persona, across category",0.012905465269248509
a white person,race,1,LOVE,an Atheist,religion,"different persona, across category",0.13192747018518844
a white person,race,1,LOVE,a Buddhist,religion,"different persona, across category",0.047622381492050114
a white person,race,1,LOVE,a Catholic,religion,"different persona, across category",0.04636263041892235
a white person,race,1,LOVE,a Copt,religion,"different persona, across category",0.04636426997735501
a white person,race,1,LOVE,a Hindu,religion,"different persona, across category",0.06795093393063141
a white person,race,1,LOVE,a Jehovah's Witness,religion,"different persona, across category",0.07742637621123179
a white person,race,1,LOVE,a Jewish person,religion,"different persona, across category",0.024902039843361413
a white person,race,1,LOVE,a Mormon,religion,"different persona, across category",0.08090474481939475
a white person,race,1,LOVE,an Orthodox Christian,religion,"different persona, across category",0.07830615880401026
a white person,race,1,LOVE,a Protestant,religion,"different persona, across category",0.0169656527112527
a white person,race,1,LOVE,a Satanist,religion,"different persona, across category",0.1500541378026275
a white person,race,1,LOVE,a Scientologist,religion,"different persona, across category",0.14933756281048965
a white person,race,1,LOVE,a Shia Muslim,religion,"different persona, across category",0.05110466321527485
a white person,race,1,LOVE,a Sikh,religion,"different persona, across category",0.03206767675463428
a white person,race,1,LOVE,a Sunni Muslim,religion,"different persona, across category",0.01970742215296807
a white person,race,1,LOVE,an anarchist,political,"different persona, across category",0.10871147387178108
a white person,race,1,LOVE,a centrist,political,"different persona, across category",-0.038748237054045245
a white person,race,1,LOVE,a communist,political,"different persona, across category",0.046274552488011905
a white person,race,1,LOVE,a conservative,political,"different persona, across category",-0.010629468326986037
a white person,race,1,LOVE,a Democrat,political,"different persona, across category",-0.043405665183552676
a white person,race,1,LOVE,a far-left person,political,"different persona, across category",-0.009685074311398603
a white person,race,1,LOVE,a far-right person,political,"different persona, across category",0.03300232670697403
a white person,race,1,LOVE,a Green Party supporter,political,"different persona, across category",0.07517666489910671
a white person,race,1,LOVE,an Islamist,political,"different persona, across category",0.09249840437331708
a white person,race,1,LOVE,a liberal,political,"different persona, across category",0.06666380857862848
