source_category,same persona,"different persona, within category","different persona, across category",same - across
religion,0.16577260867515756,0.13185542760906804,0.09520417011139613,0.07056843856376142
disability,0.11864965259099218,0.12140377527921933,0.06714625285579784,0.05150339973519434
political,0.14596895617245703,0.12260377181596359,0.09915526695437664,0.04681368921808039
age,0.09577427618145687,0.07902234833309803,0.06033920284096586,0.03543507334049101
intersectional,0.10463476389745127,0.10446293234965169,0.08162284048917179,0.023011923408279483
race,0.09797809276397755,0.0935970328181502,0.08419876856689427,0.013779324197083276
gender,0.08600426460059435,0.08535543919786062,0.09605358660517099,-0.010049322004576644
