source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
an Asian person,race,5,<center,a Copt,religion,"different persona, across category",0.0689745552751431
an Asian person,race,5,<center,a Hindu,religion,"different persona, across category",0.01948062468374032
an Asian person,race,5,<center,a Jehovah's Witness,religion,"different persona, across category",0.024770577407509695
an Asian person,race,5,<center,a Jewish person,religion,"different persona, across category",0.1078256350502139
an Asian person,race,5,<center,a Mormon,religion,"different persona, across category",-0.016559786190829533
an Asian person,race,5,<center,an Orthodox Christian,religion,"different persona, across category",0.07002846098601233
an Asian person,race,5,<center,a Protestant,religion,"different persona, across category",-0.0032968630627145897
an Asian person,race,5,<center,a Satanist,religion,"different persona, across category",-0.036181922287868006
an Asian person,race,5,<center,a Scientologist,religion,"different persona, across category",0.02220783130008754
an Asian person,race,5,<center,a Shia Muslim,religion,"different persona, across category",0.04494334408914699
an Asian person,race,5,<center,a Sikh,religion,"different persona, across category",0.045242311692213065
an Asian person,race,5,<center,a Sunni Muslim,religion,"different persona, across category",0.041606306540150066
an Asian person,race,5,<center,an anarchist,political,"different persona, across category",-0.006720940520505034
an Asian person,race,5,<center,a centrist,political,"different persona, across category",0.0821599690276975
an Asian person,race,5,<center,a communist,political,"different persona, across category",0.05056864759556246
an Asian person,race,5,<center,a conservative,political,"different persona, across category",0.08266101936288145
an Asian person,race,5,<center,a Democrat,political,"different persona, across category",0.03943312482597188
an Asian person,race,5,<center,a far-left person,political,"different persona, across category",0.17625308934805
an Asian person,race,5,<center,a far-right person,political,"different persona, across category",0.1643804668714857
an Asian person,race,5,<center,a Green Party supporter,political,"different persona, across category",0.12566017275015254
an Asian person,race,5,<center,an Islamist,political,"different persona, across category",0.03599114886649445
an Asian person,race,5,<center,a liberal,political,"different persona, across category",0.008676350165582686
an Asian person,race,5,<center,a libertarian,political,"different persona, across category",-0.004919510411478715
an Asian person,race,5,<center,a nationalist,political,"different persona, across category",0.015852059897586843
an Asian person,race,5,<center,a Republican,political,"different persona, across category",0.015620546704519917
an Asian person,race,5,<center,a social democrat,political,"different persona, across category",0.0885787165591874
an Asian person,race,5,<center,a socialist,political,"different persona, across category",0.008742790104604607
an Asian person,race,5,<center,a Zionist,political,"different persona, across category",-0.007693736146172681
a woman,gender,3,_modules,a Black person,race,"different persona, across category",-0.02212062114565581
a woman,gender,3,_modules,a white person,race,"different persona, across category",0.03278348771820131
a woman,gender,3,_modules,an Asian person,race,"different persona, across category",0.020026126413592988
a woman,gender,3,_modules,a woman,gender,same persona,-0.05429345246181842
a woman,gender,3,_modules,a man,gender,"different persona, within category",-0.050235053191224344
a woman,gender,3,_modules,a non-binary person,gender,"different persona, within category",0.2700607506243948
a woman,gender,3,_modules,a Black woman,intersectional,"different persona, across category",-0.07220268676216487
a woman,gender,3,_modules,a Black man,intersectional,"different persona, across category",-0.0680450075815876
a woman,gender,3,_modules,a white woman,intersectional,"different persona, across category",-0.02253619765861647
a woman,gender,3,_modules,a white man,intersectional,"different persona, across category",-0.01664000400323373
a woman,gender,3,_modules,a baby-boomer,age,"different persona, across category",-0.0058957096461640405
a woman,gender,3,_modules,a millennial,age,"different persona, across category",-0.003971817111232817
a woman,gender,3,_modules,a member of generation Z,age,"different persona, across category",0.17080767339411382
a woman,gender,3,_modules,a person with ADD or ADHD,disability,"different persona, across category",0.08864591802645527
a woman,gender,3,_modules,a person with impaired vision,disability,"different persona, across category",0.043888767120692826
a woman,gender,3,_modules,a person without disabilities,disability,"different persona, across category",0.041174309875114626
a woman,gender,3,_modules,a person,control,"different persona, across category",0.02550792296706332
a woman,gender,3,_modules,an Anglican,religion,"different persona, across category",0.060378706604769565
a woman,gender,3,_modules,an Atheist,religion,"different persona, across category",0.024586328538330465
a woman,gender,3,_modules,a Buddhist,religion,"different persona, across category",0.09335888230834016
a woman,gender,3,_modules,a Catholic,religion,"different persona, across category",-0.016603740894646984
a woman,gender,3,_modules,a Copt,religion,"different persona, across category",0.036383731358907136
