source_category,same persona,"different persona, within category","different persona, across category",same - across
disability,0.17998949035148928,0.10745768630627345,0.02839852932595389,0.1515909610255354
race,0.0529089669158001,0.06599029237276918,0.04154656064252857,0.011362406273271529
political,0.05190015982159007,0.0684166485913607,0.0604529072811926,-0.008552747459602529
religion,0.014260442442277893,0.0093909941354602,0.0641589806964417,-0.04989853825416381
intersectional,-0.015040723339695078,-0.015782360370846557,0.03919166703133666,-0.05423239037103174
age,0.05345320056619284,0.1525652582733893,0.11330809366455677,-0.05985489309836393
gender,-0.05429345246181842,0.10991284871658522,0.03107294748186494,-0.08536639994368336
