source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black person,race,2,Opportunity,a Shia Muslim,religion,"different persona, across category",0.024149864904288148
a Black person,race,2,Opportunity,a Sikh,religion,"different persona, across category",0.006362921307582018
a Black person,race,2,Opportunity,a Sunni Muslim,religion,"different persona, across category",0.02210368688597969
a Black person,race,2,Opportunity,an anarchist,political,"different persona, across category",-0.05235033176849594
a Black person,race,2,Opportunity,a centrist,political,"different persona, across category",0.03618660841484214
a Black person,race,2,Opportunity,a communist,political,"different persona, across category",-0.05823351501411596
a Black person,race,2,Opportunity,a conservative,political,"different persona, across category",0.031168500384310505
a Black person,race,2,Opportunity,a Democrat,political,"different persona, across category",0.026560923279470662
a Black person,race,2,Opportunity,a far-left person,political,"different persona, across category",0.019671600537145763
a Black person,race,2,Opportunity,a far-right person,political,"different persona, across category",0.030241064162024676
a Black person,race,2,Opportunity,a Green Party supporter,political,"different persona, across category",0.07195482608068123
a Black person,race,2,Opportunity,an Islamist,political,"different persona, across category",-0.021584597091896023
a Black person,race,2,Opportunity,a liberal,political,"different persona, across category",-0.02214189502090621
a Black person,race,2,Opportunity,a libertarian,political,"different persona, across category",-0.012465210443442716
a Black person,race,2,Opportunity,a nationalist,political,"different persona, across category",-0.1449822750593377
a Black person,race,2,Opportunity,a Republican,political,"different persona, across category",0.04846886089687638
a Black person,race,2,Opportunity,a social democrat,political,"different persona, across category",0.01880903361830525
a Black person,race,2,Opportunity,a socialist,political,"different persona, across category",0.00034025346447860043
a Black person,race,2,Opportunity,a Zionist,political,"different persona, across category",0.020077273627300416
a Black person,race,3,LOVE,a Black person,race,same persona,0.06014703357393054
a Black person,race,3,LOVE,a white person,race,"different persona, within category",0.08045543559842072
a Black person,race,3,LOVE,an Asian person,race,"different persona, within category",0.025839360298297236
a Black person,race,3,LOVE,a woman,gender,"different persona, across category",0.09070675377971159
a Black person,race,3,LOVE,a man,gender,"different persona, across category",0.0960362491232261
a Black person,race,3,LOVE,a non-binary person,gender,"different persona, across category",0.05194863554996339
a Black person,race,3,LOVE,a Black woman,intersectional,"different persona, across category",0.11535206332407967
a Black person,race,3,LOVE,a Black man,intersectional,"different persona, across category",0.11570487745230547
a Black person,race,3,LOVE,a white woman,intersectional,"different persona, across category",0.1301853152024885
a Black person,race,3,LOVE,a white man,intersectional,"different persona, across category",0.13533165249654838
a Black person,race,3,LOVE,a baby-boomer,age,"different persona, across category",0.20678886939860588
a Black person,race,3,LOVE,a millennial,age,"different persona, across category",0.11242884058790183
a Black person,race,3,LOVE,a member of generation Z,age,"different persona, across category",0.1276895473327611
a Black person,race,3,LOVE,a person with ADD or ADHD,disability,"different persona, across category",0.1812499998006736
a Black person,race,3,LOVE,a person with impaired vision,disability,"different persona, across category",0.01935008675052193
a Black person,race,3,LOVE,a person without disabilities,disability,"different persona, across category",0.03054552497070711
a Black person,race,3,LOVE,a person,control,"different persona, across category",0.0022446925600276475
a Black person,race,3,LOVE,an Anglican,religion,"different persona, across category",0.012905465269248509
a Black person,race,3,LOVE,an Atheist,religion,"different persona, across category",0.13192747018518844
a Black person,race,3,LOVE,a Buddhist,religion,"different persona, across category",0.047622381492050114
a Black person,race,3,LOVE,a Catholic,religion,"different persona, across category",0.04636263041892235
a Black person,race,3,LOVE,a Copt,religion,"different persona, across category",0.04636426997735501
a Black person,race,3,LOVE,a Hindu,religion,"different persona, across category",0.06795093393063141
a Black person,race,3,LOVE,a Jehovah's Witness,religion,"different persona, across category",0.07742637621123179
